Sample Rate
100
Channel Index,Channel Name,Scale,Offset
0,Channel 0:,1.000000,0.000000
Time(s),Channel 0:
0.000000,3.153262
0.010000,3.145607
0.020000,3.155814
0.030000,3.150711
0.040000,3.155814
0.050000,3.145607
0.060000,3.153262
0.070000,3.150711
0.080000,3.158366
0.090000,3.158366
0.100000,3.150711
0.110000,3.150711
0.120000,3.150711
0.130000,3.148159
0.140000,3.158366
0.150000,3.145607
0.160000,3.160918
0.170000,3.153262
0.180000,3.145607
0.190000,3.158366
0.200000,3.153262
0.210000,3.153262
0.220000,3.148159
0.230000,3.158366
0.240000,3.145607
0.250000,3.150711
0.260000,3.150711
0.270000,3.153262
0.280000,3.150711
0.290000,3.145607
0.300000,3.158366
0.310000,3.158366
0.320000,3.148159
0.330000,3.158366
0.340000,3.148159
0.350000,3.150711
0.360000,3.148159
0.370000,3.155814
0.380000,3.153262
0.390000,3.150711
0.400000,3.150711
0.410000,3.158366
0.420000,3.153262
0.430000,3.155814
0.440000,3.148159
0.450000,3.150711
0.460000,3.145607
0.470000,3.150711
0.480000,3.148159
0.490000,3.153262
0.500000,3.153262
0.510000,3.150711
0.520000,3.145607
0.530000,3.158366
0.540000,3.150711
0.550000,3.158366
0.560000,3.145607
0.570000,3.158366
0.580000,3.150711
0.590000,3.148159
0.600000,3.145607
0.610000,3.150711
0.620000,3.158366
0.630000,3.153262
0.640000,3.148159
0.650000,3.158366
0.660000,3.153262
0.670000,3.145607
0.680000,3.158366
0.690000,3.143056
0.700000,3.158366
0.710000,3.153262
0.720000,3.145607
0.730000,3.150711
0.740000,3.153262
0.750000,3.150711
0.760000,3.158366
0.770000,3.150711
0.780000,3.153262
0.790000,3.145607
0.800000,3.150711
0.810000,3.150711
0.820000,3.150711
0.830000,3.150711
0.840000,3.150711
0.850000,3.150711
0.860000,3.158366
0.870000,3.158366
0.880000,3.145607
0.890000,3.150711
0.900000,3.153262
0.910000,3.145607
0.920000,3.150711
0.930000,3.145607
0.940000,3.143056
0.950000,3.150711
0.960000,3.155814
0.970000,3.145607
0.980000,3.150711
0.990000,3.158366
1.000000,3.150711
1.010000,3.153262
1.020000,3.153262
1.030000,3.150711
1.040000,3.150711
1.050000,3.150711
1.060000,3.155814
1.070000,3.153262
1.080000,3.158366
1.090000,3.148159
1.100000,3.158366
1.110000,3.153262
1.120000,3.145607
1.130000,3.153262
1.140000,3.158366
1.150000,3.145607
1.160000,3.158366
1.170000,3.145607
1.180000,3.153262
1.190000,3.150711
1.200000,3.145607
1.210000,3.158366
1.220000,3.148159
1.230000,3.153262
1.240000,3.153262
1.250000,3.148159
1.260000,3.158366
1.270000,3.150711
1.280000,3.145607
1.290000,3.158366
1.300000,3.153262
1.310000,3.145607
1.320000,3.145607
1.330000,3.153262
1.340000,3.148159
1.350000,3.153262
1.360000,3.145607
1.370000,3.158366
1.380000,3.158366
1.390000,3.150711
1.400000,3.148159
1.410000,3.158366
1.420000,3.155814
1.430000,3.153262
1.440000,3.158366
1.450000,3.150711
1.460000,3.145607
1.470000,3.158366
1.480000,3.145607
1.490000,3.150711
1.500000,3.158366
1.510000,3.150711
1.520000,3.150711
1.530000,3.150711
1.540000,3.150711
1.550000,3.148159
1.560000,3.153262
1.570000,3.158366
1.580000,3.153262
1.590000,3.148159
1.600000,3.153262
1.610000,3.150711
1.620000,3.145607
1.630000,3.158366
1.640000,3.153262
1.650000,3.153262
1.660000,3.153262
1.670000,3.145607
1.680000,3.158366
1.690000,3.150711
1.700000,3.150711
1.710000,3.150711
1.720000,3.145607
1.730000,3.158366
1.740000,3.158366
1.750000,3.148159
1.760000,3.150711
1.770000,3.158366
1.780000,3.150711
1.790000,3.145607
1.800000,3.145607
1.810000,3.153262
1.820000,3.158366
1.830000,3.153262
1.840000,3.150711
1.850000,3.153262
1.860000,3.150711
1.870000,3.153262
1.880000,3.150711
1.890000,3.158366
1.900000,3.150711
1.910000,3.150711
1.920000,3.150711
1.930000,3.153262
1.940000,3.153262
1.950000,3.150711
1.960000,3.150711
1.970000,3.153262
1.980000,3.155814
1.990000,3.150711
2.000000,3.148159
2.010000,3.158366
2.020000,3.145607
2.030000,3.150711
2.040000,3.145607
2.050000,3.148159
2.060000,3.158366
2.070000,3.145607
2.080000,3.158366
2.090000,3.153262
2.100000,3.153262
2.110000,3.153262
2.120000,3.150711
2.130000,3.158366
2.140000,3.150711
2.150000,3.158366
2.160000,3.150711
2.170000,3.150711
2.180000,3.145607
2.190000,3.158366
2.200000,3.145607
