Sample Rate
100
Channel Index,Channel Name,Scale,Offset
0,Channel 0:,1.000000,-1.000000
1,Channel 1:,1.000000,0.000000
2,Channel 2:,1.000000,0.000000
3,Channel 3:,1.000000,0.000000
4,Channel 4:,1.000000,0.000000
5,Channel 5:,1.000000,0.000000
6,Channel 6:,1.000000,0.000000
7,Channel 7:,1.000000,0.000000
Time(s),Channel 0:,Channel 1:,Channel 2:,Channel 3:,Channel 4:,Channel 5:,Channel 6:,Channel 7:
0.000000,0.383546,1.363879,1.380430,1.373799,1.403897,1.364154,1.354739,1.375473
0.010000,0.381000,1.376607,1.385521,1.363615,1.396259,1.361609,1.354739,1.380565
0.020000,0.391184,1.368970,1.375338,1.361069,1.396259,1.364154,1.367470,1.385657
0.030000,0.383546,1.368970,1.382975,1.366161,1.388621,1.359063,1.362378,1.380565
0.040000,0.381000,1.363879,1.377884,1.371253,1.393713,1.364154,1.354739,1.375473
0.050000,0.391184,1.366425,1.370246,1.363615,1.396259,1.369245,1.362378,1.375473
0.060000,0.386092,1.368970,1.377884,1.358523,1.388621,1.366700,1.362378,1.380565
0.070000,0.381000,1.368970,1.377884,1.373799,1.393713,1.359063,1.354739,1.380565
0.080000,0.391184,1.368970,1.375338,1.361069,1.396259,1.366700,1.367470,1.388204
0.090000,0.386092,1.363879,1.377884,1.366161,1.398805,1.364154,1.357285,1.375473
0.100000,0.391184,1.371516,1.380430,1.361069,1.388621,1.366700,1.367470,1.380565
0.110000,0.383546,1.366425,1.377884,1.371253,1.401351,1.364154,1.357285,1.372927
0.120000,0.383546,1.368970,1.380430,1.363615,1.388621,1.361609,1.359832,1.380565
0.130000,0.391184,1.368970,1.372792,1.361069,1.398805,1.371791,1.359832,1.380565
0.140000,0.386092,1.368970,1.377884,1.366161,1.388621,1.359063,1.362378,1.385657
0.150000,0.386092,1.363879,1.377884,1.363615,1.401351,1.369245,1.354739,1.380565
0.160000,0.381000,1.366425,1.385521,1.373799,1.393713,1.364154,1.354739,1.380565
0.170000,0.383546,1.376607,1.377884,1.366161,1.388621,1.361609,1.367470,1.385657
0.180000,0.383546,1.366425,1.377884,1.371253,1.401351,1.364154,1.362378,1.375473
0.190000,0.383546,1.376607,1.385521,1.366161,1.391167,1.366700,1.362378,1.385657
0.200000,0.391184,1.368970,1.380430,1.361069,1.388621,1.371791,1.367470,1.380565
0.210000,0.383546,1.366425,1.377884,1.371253,1.401351,1.364154,1.354739,1.375473
0.220000,0.375908,1.363879,1.377884,1.371253,1.393713,1.364154,1.352193,1.375473
0.230000,0.386092,1.371516,1.382975,1.371253,1.396259,1.361609,1.354739,1.383111
0.240000,0.388638,1.376607,1.380430,1.358523,1.388621,1.366700,1.359832,1.388204
0.250000,0.388638,1.371516,1.380430,1.366161,1.396259,1.374336,1.359832,1.383111
0.260000,0.386092,1.366425,1.370246,1.363615,1.401351,1.364154,1.362378,1.375473
0.270000,0.378454,1.368970,1.375338,1.371253,1.396259,1.361609,1.357285,1.380565
0.280000,0.386092,1.376607,1.385521,1.363615,1.391167,1.364154,1.359832,1.388204
0.290000,0.388638,1.368970,1.377884,1.361069,1.396259,1.374336,1.364924,1.380565
0.300000,0.391184,1.371516,1.372792,1.363615,1.398805,1.371791,1.364924,1.380565
0.310000,0.381000,1.366425,1.380430,1.371253,1.401351,1.359063,1.354739,1.383111
0.320000,0.383546,1.368970,1.382975,1.366161,1.388621,1.361609,1.362378,1.380565
0.330000,0.388638,1.376607,1.372792,1.361069,1.396259,1.374336,1.362378,1.383111
0.340000,0.375908,1.363879,1.377884,1.371253,1.396259,1.366700,1.354739,1.375473
0.350000,0.381000,1.371516,1.385521,1.371253,1.396259,1.364154,1.362378,1.383111
0.360000,0.388638,1.368970,1.377884,1.358523,1.391167,1.371791,1.364924,1.383111
0.370000,0.386092,1.363879,1.380430,1.373799,1.403897,1.364154,1.359832,1.375473
0.380000,0.378454,1.368970,1.380430,1.366161,1.396259,1.361609,1.354739,1.378019
0.390000,0.383546,1.376607,1.382975,1.366161,1.391167,1.366700,1.362378,1.388204
0.400000,0.391184,1.376607,1.377884,1.361069,1.396259,1.364154,1.367470,1.385657
0.410000,0.378454,1.363879,1.377884,1.366161,1.396259,1.364154,1.357285,1.375473
0.420000,0.386092,1.374062,1.382975,1.361069,1.388621,1.366700,1.362378,1.388204
0.430000,0.386092,1.363879,1.377884,1.363615,1.401351,1.369245,1.352193,1.383111
0.440000,0.388638,1.376607,1.375338,1.366161,1.388621,1.364154,1.364924,1.385657
0.450000,0.378454,1.366425,1.382975,1.368707,1.396259,1.364154,1.359832,1.375473
0.460000,0.388638,1.374062,1.377884,1.366161,1.396259,1.364154,1.367470,1.385657
0.470000,0.378454,1.366425,1.377884,1.373799,1.396259,1.364154,1.354739,1.380565
0.480000,0.391184,1.368970,1.375338,1.361069,1.388621,1.366700,1.362378,1.380565
0.490000,0.391184,1.371516,1.370246,1.368707,1.396259,1.374336,1.367470,1.378019
0.500000,0.383546,1.366425,1.380430,1.363615,1.401351,1.366700,1.357285,1.380565
0.510000,0.383546,1.371516,1.377884,1.366161,1.391167,1.359063,1.359832,1.380565
0.520000,0.391184,1.376607,1.380430,1.358523,1.396259,1.364154,1.367470,1.385657
0.530000,0.388638,1.368970,1.372792,1.355977,1.396259,1.364154,1.364924,1.383111
0.540000,0.381000,1.363879,1.377884,1.366161,1.401351,1.364154,1.354739,1.375473
0.550000,0.383546,1.368970,1.380430,1.366161,1.391167,1.361609,1.359832,1.380565
0.560000,0.386092,1.363879,1.372792,1.366161,1.396259,1.364154,1.362378,1.375473
0.570000,0.383546,1.368970,1.382975,1.366161,1.388621,1.361609,1.362378,1.383111
0.580000,0.383546,1.363879,1.377884,1.366161,1.401351,1.364154,1.354739,1.375473
0.590000,0.391184,1.376607,1.380430,1.366161,1.396259,1.366700,1.367470,1.385657
0.600000,0.381000,1.363879,1.377884,1.373799,1.401351,1.364154,1.362378,1.375473
0.610000,0.381000,1.371516,1.377884,1.371253,1.401351,1.364154,1.352193,1.383111
0.620000,0.386092,1.368970,1.385521,1.366161,1.391167,1.359063,1.362378,1.380565
0.630000,0.391184,1.368970,1.372792,1.361069,1.393713,1.364154,1.357285,1.383111
0.640000,0.381000,1.366425,1.382975,1.368707,1.396259,1.369245,1.354739,1.380565
0.650000,0.383546,1.366425,1.372792,1.366161,1.393713,1.364154,1.362378,1.375473
0.660000,0.378454,1.368970,1.385521,1.371253,1.396259,1.361609,1.354739,1.380565
0.670000,0.386092,1.371516,1.377884,1.361069,1.396259,1.371791,1.364924,1.380565
0.680000,0.386092,1.363879,1.372792,1.373799,1.401351,1.364154,1.362378,1.372927
0.690000,0.383546,1.376607,1.385521,1.366161,1.396259,1.361609,1.362378,1.388204
0.700000,0.388638,1.368970,1.375338,1.361069,1.396259,1.374336,1.364924,1.380565
0.710000,0.386092,1.363879,1.377884,1.366161,1.401351,1.371791,1.362378,1.380565
0.720000,0.386092,1.371516,1.382975,1.371253,1.396259,1.364154,1.359832,1.383111
0.730000,0.386092,1.371516,1.380430,1.363615,1.401351,1.369245,1.359832,1.372927
0.740000,0.391184,1.368970,1.372792,1.361069,1.396259,1.366700,1.359832,1.380565
0.750000,0.378454,1.368970,1.385521,1.368707,1.391167,1.359063,1.362378,1.380565
0.760000,0.388638,1.368970,1.372792,1.358523,1.396259,1.364154,1.367470,1.380565
0.770000,0.381000,1.366425,1.377884,1.371253,1.401351,1.366700,1.359832,1.375473
0.780000,0.386092,1.376607,1.377884,1.361069,1.388621,1.366700,1.359832,1.385657
0.790000,0.386092,1.363879,1.370246,1.366161,1.403897,1.366700,1.359832,1.375473
0.800000,0.386092,1.371516,1.377884,1.371253,1.401351,1.364154,1.354739,1.380565
0.810000,0.378454,1.371516,1.377884,1.366161,1.396259,1.359063,1.354739,1.383111
0.820000,0.388638,1.368970,1.370246,1.363615,1.396259,1.369245,1.359832,1.380565
