Sample Rate
100
Channel Index,Channel Name,Scale,Offset
0,Channel 0:,1.000000,0.000000
1,Channel 1:,1.000000,0.000000
2,Channel 2:,1.000000,0.000000
3,Channel 3:,1.000000,0.000000
4,Channel 4:,1.000000,0.000000
5,Channel 5:,1.000000,0.000000
6,Channel 6:,1.000000,0.000000
7,Channel 7:,1.000000,0.000000
Time(s),Channel 0:,Channel 1:,Channel 2:,Channel 3:,Channel 4:,Channel 5:,Channel 6:,Channel 7:
38.000000,1.386092,1.374062,1.382975,1.361069,1.391167,1.366700,1.359832,1.385657
38.010000,1.381000,1.368970,1.377884,1.371253,1.401351,1.359063,1.354739,1.383111
38.020000,1.381000,1.376607,1.385521,1.363615,1.396259,1.356517,1.362378,1.388204
38.030000,1.383546,1.376607,1.380430,1.366161,1.388621,1.359063,1.362378,1.388204
38.040000,1.391184,1.376607,1.377884,1.363615,1.393713,1.366700,1.364924,1.385657
38.050000,1.391184,1.374062,1.377884,1.363615,1.388621,1.366700,1.364924,1.385657
38.060000,1.391184,1.376607,1.372792,1.361069,1.398805,1.371791,1.362378,1.378019
38.070000,1.391184,1.363879,1.370246,1.366161,1.396259,1.374336,1.359832,1.378019
38.080000,1.386092,1.368970,1.372792,1.371253,1.401351,1.364154,1.357285,1.375473
38.090000,1.383546,1.376607,1.377884,1.361069,1.391167,1.366700,1.367470,1.385657
38.100000,1.386092,1.368970,1.380430,1.366161,1.403897,1.374336,1.359832,1.380565
38.110000,1.386092,1.371516,1.372792,1.363615,1.401351,1.371791,1.359832,1.383111
38.120000,1.388638,1.363879,1.370246,1.366161,1.396259,1.366700,1.359832,1.375473
38.130000,1.386092,1.376607,1.382975,1.366161,1.396259,1.359063,1.359832,1.388204
38.140000,1.391184,1.368970,1.372792,1.366161,1.396259,1.369245,1.359832,1.380565
38.150000,1.381000,1.371516,1.372792,1.371253,1.401351,1.361609,1.354739,1.380565
38.160000,1.391184,1.371516,1.377884,1.361069,1.396259,1.374336,1.364924,1.383111
38.170000,1.386092,1.368970,1.377884,1.371253,1.403897,1.366700,1.354739,1.383111
38.180000,1.391184,1.379153,1.380430,1.363615,1.388621,1.366700,1.364924,1.385657
38.190000,1.386092,1.363879,1.372792,1.366161,1.403897,1.371791,1.362378,1.375473
38.200000,1.386092,1.363879,1.385521,1.371253,1.396259,1.366700,1.364924,1.380565
38.210000,1.391184,1.374062,1.377884,1.363615,1.398805,1.364154,1.367470,1.385657
38.220000,1.393730,1.371516,1.372792,1.361069,1.396259,1.364154,1.362378,1.383111
38.230000,1.378454,1.368970,1.377884,1.371253,1.396259,1.361609,1.354739,1.380565
38.240000,1.388638,1.368970,1.377884,1.358523,1.396259,1.374336,1.367470,1.383111
38.250000,1.386092,1.368970,1.377884,1.363615,1.401351,1.371791,1.362378,1.380565
38.260000,1.381000,1.368970,1.385521,1.368707,1.396259,1.364154,1.354739,1.375473
38.270000,1.391184,1.371516,1.377884,1.361069,1.388621,1.364154,1.362378,1.383111
38.280000,1.388638,1.368970,1.372792,1.358523,1.396259,1.364154,1.370016,1.388204
38.290000,1.391184,1.376607,1.377884,1.361069,1.393713,1.364154,1.364924,1.388204
38.300000,1.381000,1.366425,1.377884,1.363615,1.401351,1.364154,1.354739,1.375473
38.310000,1.381000,1.368970,1.377884,1.371253,1.401351,1.361609,1.354739,1.383111
38.320000,1.381000,1.363879,1.380430,1.366161,1.396259,1.366700,1.354739,1.375473
38.330000,1.383546,1.371516,1.385521,1.363615,1.396259,1.359063,1.362378,1.383111
38.340000,1.388638,1.379153,1.377884,1.363615,1.388621,1.366700,1.362378,1.388204
38.350000,1.386092,1.366425,1.377884,1.373799,1.398805,1.364154,1.359832,1.375473
38.360000,1.381000,1.376607,1.385521,1.366161,1.396259,1.359063,1.352193,1.380565
38.370000,1.388638,1.368970,1.375338,1.361069,1.396259,1.369245,1.364924,1.380565
38.380000,1.391184,1.374062,1.372792,1.366161,1.396259,1.371791,1.367470,1.380565
38.390000,1.381000,1.363879,1.377884,1.366161,1.401351,1.374336,1.359832,1.375473
38.400000,1.378454,1.363879,1.377884,1.371253,1.393713,1.364154,1.354739,1.380565
38.410000,1.378454,1.368970,1.380430,1.373799,1.403897,1.364154,1.354739,1.380565
38.420000,1.381000,1.371516,1.380430,1.371253,1.403897,1.364154,1.354739,1.383111
38.430000,1.375908,1.371516,1.377884,1.371253,1.396259,1.361609,1.354739,1.380565
38.440000,1.383546,1.368970,1.377884,1.361069,1.391167,1.374336,1.367470,1.385657
